Latitude,Longitude
40.704022,-73.940926
40.708821,-73.948497
40.705994,-73.942995
40.704416,-73.944457
40.700609,-73.938376
40.820961,-73.945071
40.813209,-73.938756
40.816213,-73.945877
40.820958,-73.945375
40.814546,-73.944268
40.813274,-73.94148
40.819208,-73.940835
40.820741,-73.943464
40.817351,-73.938503
40.814873,-73.940311
40.809627,-73.93782
40.820418,-73.939952
40.815499,-73.939852
40.812473,-73.937835
40.816238,-73.945895
40.819764,-73.944155
40.811888,-73.942496
40.815935,-73.939534
40.812396,-73.942095
40.809959,-73.937238
40.821167,-73.939431
40.81925,-73.937114
40.821482,-73.939178
40.818518,-73.945088
40.819097,-73.944665
40.817088,-73.938669
40.813266,-73.941458
,
,
,
,
,
,
,
,
,
40.847317,-73.919933
40.848576,-73.911408
40.85885,-73.905292
40.851275,-73.908322
40.853268,-73.905933
40.853059,-73.905344
40.85815,-73.904025
40.850025,-73.913756
40.853829,-73.913899
40.848496,-73.910921
40.857217,-73.904601
40.846985,-73.91513
40.853898,-73.91434
40.848507,-73.914025
40.847498,-73.911887
40.848468,-73.913122
40.852452,-73.904629
40.850097,-73.911399
40.858583,-73.903355
40.855271,-73.904564
40.855644,-73.904491
40.85362,-73.913889
40.858176,-73.90623
40.853301,-73.905973
40.85208,-73.91718
40.859302,-73.906622
40.848022,-73.907336
40.857727,-73.900811
40.851922,-73.910883
40.852161,-73.910789
40.848015,-73.909927
40.849338,-73.917089
40.850041,-73.913619
40.850561,-73.91536
40.858247,-73.902387
40.853839,-73.909077
40.854163,-73.909767
40.8502,-73.906783
40.85917,-73.906246
40.854853,-73.903444
40.857552,-73.904398
40.857079,-73.900173
40.85885,-73.905292
40.855644,-73.904491
40.851275,-73.908322
40.85726,-73.904293
40.849322,-73.917079
40.85815,-73.904025
40.857302,-73.901203
40.853012,-73.905221
40.853829,-73.913899
40.858247,-73.902387
